StudentRef,study_hours_per_week,attendance_percent,previous_exam_score,age,parental_education,school_type,internet_access,extracurricular,grade
STU-20000,19.5,73.1,96.3,18,High School,Public,Yes,Yes,A
STU-20001,15.1,74.4,65.3,18,Masters,Public,Yes,No,C
STU-20002,17.7,58.0,69.8,15,High School,Public,Yes,No,B
STU-20003,2.2,100.0,62.8,17,Bachelors,Public,Yes,No,C
STU-20004,15.8,100.0,76.7,17,Bachelors,Public,Yes,No,A
STU-20005,24.5,92.4,51.1,18,PhD,Public,Yes,No,C
STU-20006,10.6,96.4,69.5,18,High School,Public,Yes,Yes,B
STU-20007,2.8,84.9,67.6,16,Masters,Private,Yes,No,C
STU-20008,24.0,88.8,94.9,17,Masters,Public,Yes,Yes,A
STU-20009,16.9,61.4,66.0,18,PhD,Public,No,Yes,D
STU-20010,4.9,80.4,68.2,15,PhD,Public,No,No,F
STU-20011,16.8,54.6,73.1,15,Bachelors,Public,Yes,Yes,B
STU-20012,24.8,71.4,86.3,18,Bachelors,Public,Yes,Yes,A
STU-20013,5.2,77.2,100.0,16,PhD,Private,Yes,No,B
STU-20014,21.3,76.8,77.7,17,PhD,Public,Yes,No,A
STU-20015,17.5,65.7,78.8,15,PhD,Private,No,Yes,A
STU-20016,5.5,100.0,95.3,16,Bachelors,Public,Yes,Yes,D
STU-20017,4.6,96.2,72.2,16,Masters,Public,Yes,No,C
STU-20018,23.9,73.7,77.7,17,Bachelors,Public,Yes,No,A
STU-20019,8.5,63.2,62.5,16,Bachelors,Private,Yes,No,B
STU-20020,11.0,74.2,69.1,18,Bachelors,Public,Yes,Yes,C
STU-20021,16.4,95.4,59.8,16,Masters,Private,Yes,No,A
STU-20022,11.0,53.1,100.0,17,Masters,Public,Yes,Yes,C
STU-20023,0.0,93.4,83.1,16,Bachelors,Public,Yes,Yes,C
STU-20024,6.5,79.5,81.7,18,High School,Public,Yes,No,D
STU-20025,11.8,75.5,56.4,15,Bachelors,Public,Yes,No,C
STU-20026,19.0,96.6,73.1,18,High School,Private,Yes,No,B
STU-20027,15.2,81.7,61.0,18,High School,Private,No,No,A
STU-20028,10.8,76.2,61.0,17,Masters,Public,Yes,No,B
STU-20029,4.8,99.8,51.0,17,PhD,Public,Yes,Yes,D
STU-20030,19.6,57.8,61.5,16,Bachelors,Public,Yes,Yes,B
STU-20031,4.7,100.0,100.0,16,Bachelors,Public,Yes,Yes,B
STU-20032,18.1,68.9,62.2,18,High School,Private,Yes,Yes,C
STU-20033,12.4,69.0,81.5,16,High School,Public,Yes,No,A
STU-20034,13.8,100.0,85.6,18,Masters,Public,Yes,Yes,A
STU-20035,9.6,100.0,78.3,16,Bachelors,Public,Yes,No,C
STU-20036,5.1,99.7,82.7,16,Masters,Public,Yes,Yes,C
STU-20037,4.2,69.0,56.5,17,Bachelors,Public,Yes,Yes,D
STU-20038,16.0,49.1,94.5,16,High School,Public,Yes,No,B
STU-20039,6.9,85.1,100.0,17,Masters,Public,Yes,No,B
STU-20040,0.4,81.5,72.0,18,Bachelors,Public,Yes,No,C
STU-20041,4.8,72.8,60.8,16,PhD,Private,Yes,No,C
STU-20042,23.0,79.6,58.9,15,Masters,Public,Yes,No,C
STU-20043,17.8,71.4,51.4,16,Bachelors,Private,Yes,Yes,C
STU-20044,14.5,94.0,80.4,17,Masters,Public,Yes,No,A
STU-20045,10.0,80.2,83.9,17,High School,Private,Yes,No,C
STU-20046,20.4,78.3,96.7,18,High School,Public,Yes,Yes,C
STU-20047,6.6,48.8,51.8,16,Bachelors,Private,No,Yes,F
STU-20048,15.8,85.2,84.0,17,High School,Public,Yes,Yes,C
STU-20049,0.3,59.8,81.6,17,Bachelors,Public,Yes,No,D
STU-20050,16.1,92.3,67.3,17,Bachelors,Public,Yes,Yes,A
STU-20051,24.3,80.9,58.1,16,High School,Public,Yes,Yes,A
STU-20052,17.7,51.2,75.6,18,Masters,Public,Yes,Yes,B
STU-20053,1.9,76.4,100.0,18,PhD,Private,Yes,No,C
STU-20054,14.8,63.6,52.0,15,Bachelors,Public,Yes,No,C
STU-20055,7.9,89.6,62.2,16,High School,Public,Yes,Yes,C
STU-20056,23.0,88.0,63.2,17,Bachelors,Public,Yes,No,A
STU-20057,0.5,97.0,68.9,16,High School,Public,Yes,No,D
STU-20058,0.3,69.8,87.5,18,High School,Public,No,Yes,D
STU-20059,2.4,88.6,63.9,17,High School,Private,No,Yes,D
STU-20060,8.5,60.8,36.9,17,High School,Public,Yes,Yes,F
STU-20061,22.1,86.1,52.0,18,Bachelors,Public,Yes,Yes,A
STU-20062,14.1,77.8,51.7,16,High School,Public,Yes,No,B
STU-20063,16.6,84.7,74.8,16,High School,Private,Yes,Yes,B
STU-20064,1.1,81.0,73.2,15,High School,Private,Yes,Yes,C
STU-20065,4.4,96.3,53.7,18,Bachelors,Public,Yes,No,B
STU-20066,9.5,76.0,81.7,16,High School,Public,Yes,No,C
STU-20067,15.7,78.5,43.4,15,Masters,Private,Yes,No,C
STU-20068,18.8,100.0,67.9,15,PhD,Public,Yes,Yes,B
STU-20069,14.4,80.1,90.3,17,High School,Private,Yes,Yes,B
STU-20070,7.0,73.3,47.1,16,High School,Public,Yes,No,C
STU-20071,4.5,67.8,79.7,18,High School,Public,Yes,No,F
STU-20072,10.5,81.3,86.2,16,High School,Public,Yes,No,D
STU-20073,6.4,80.6,63.8,15,Bachelors,Public,Yes,Yes,C
STU-20074,19.0,90.7,73.1,15,High School,Private,Yes,No,B
STU-20075,22.3,78.6,48.4,16,Bachelors,Private,Yes,Yes,A
STU-20076,20.1,91.3,75.7,16,PhD,Public,Yes,No,A
STU-20077,3.0,77.2,52.6,18,Masters,Public,Yes,Yes,C
STU-20078,19.7,100.0,62.2,15,Bachelors,Public,Yes,Yes,B
STU-20079,0.4,,76.9,15,Masters,Public,Yes,Yes,D
STU-20080,3.4,91.2,64.9,18,Bachelors,Public,Yes,No,D
STU-20081,17.5,86.8,54.0,17,Bachelors,Public,Yes,Yes,A
STU-20082,8.1,61.6,69.9,15,PhD,Public,Yes,Yes,D
STU-20083,20.7,96.5,66.4,17,Masters,Public,Yes,Yes,A
STU-20084,17.2,74.9,58.3,16,Bachelors,Public,Yes,No,C
STU-20085,16.0,94.8,40.6,16,High School,Private,Yes,No,C
STU-20086,15.0,51.4,67.3,18,Masters,Private,Yes,Yes,B
STU-20087,22.8,53.6,83.5,17,High School,Public,No,Yes,B
STU-20088,20.8,51.4,61.0,16,Bachelors,Public,No,No,B
STU-20089,0.7,,61.9,16,PhD,Public,Yes,Yes,F
STU-20090,24.6,75.1,63.0,18,High School,Public,Yes,No,C
STU-20091,10.8,80.4,76.3,15,High School,Public,Yes,No,B
STU-20092,7.4,66.3,47.5,16,Bachelors,Private,Yes,No,B
STU-20093,21.7,75.8,81.5,18,PhD,Private,Yes,Yes,B
STU-20094,23.0,70.7,100.0,16,PhD,Public,Yes,No,A
STU-20095,19.3,91.8,77.3,18,Bachelors,Public,Yes,Yes,A
STU-20096,18.0,91.4,71.1,15,PhD,Private,Yes,No,A
STU-20097,0.3,,76.8,18,Bachelors,Private,Yes,Yes,C
