customerID,SeniorCitizen,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn
9477-NNOBW,0,6,Yes,Yes,No,Yes,Yes,No,No,Yes,One year,Electronic check,93.14,572.77,No
7637-WCUJV,0,56,No,No,No,No,No,Yes,No,No,One year,Mailed check,108.41,6010.38,No
9943-WXCIH,1,47,Yes,No,Yes,No,Yes,No,Yes,Yes,One year,Bank transfer,111.95,5241.4,No
5623-ZROUE,1,32,Yes,No,No,No,No,No,Yes,No,Month-to-month,Electronic check,69.37,2187.94,Yes
6944-NFQVV,0,31,Yes,Yes,No,Yes,No,No,No,No,One year,Credit card,71.07,2153.87,No
8587-VMBZL,0,62,Yes,Yes,No,Yes,Yes,Yes,No,Yes,One year,Electronic check,99.59,6176.35,No
6694-AXXYE,0,6,Yes,No,No,No,Yes,No,No,No,One year,Credit card,50.07,172.02,Yes
8585-QDOMQ,0,50,Yes,No,No,Yes,No,Yes,No,Yes,Month-to-month,Bank transfer,103.41,5154.73,Yes
1752-ORSTQ,0,14,Yes,No,No,No,No,No,No,No,One year,Credit card,68.4,953.09,Yes
7311-CUJOO,1,6,Yes,No,Yes,Yes,No,No,No,No,Month-to-month,Credit card,29.82,110.96,Yes
9783-IJTQI,0,38,Yes,No,No,No,Yes,No,No,Yes,One year,Bank transfer,25.35,1038.96,No
4098-VVDKU,1,71,Yes,Yes,No,No,No,Yes,No,No,Month-to-month,Credit card,103.88,7345.76,No
2067-EENLI,0,53,Yes,Yes,No,No,No,Yes,Yes,No,Month-to-month,Mailed check,23.67,1242.64,No
2223-QUFRU,0,55,Yes,Yes,No,Yes,Yes,No,No,No,Two year,Bank transfer,46.62,2534.49,No
6013-OEYYS,1,52,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Month-to-month,Credit card,52.08,2704.08,No
9123-PRVAF,0,57,Yes,No,No,Yes,No,No,No,No,Two year,Electronic check,35.65,2097.46,No
2830-QGKMT,0,37,Yes,Yes,No,No,Yes,No,No,No,Two year,Mailed check,50.02,1974.39,No
5656-ARLCQ,0,9,No,Yes,Yes,Yes,Yes,No,No,Yes,Month-to-month,Electronic check,93.75,881.03,Yes
