customer_id,age,monthly_income,credit_score,tenure_years,monthly_spend,support_tickets,late_payments,satisfaction_score,contract_type,payment_method,usage_hours,churn
CUST100000,22,18000.0,647.0,6.9,5911.0,3,2,5.8,Monthly,Card,17.4,Yes
CUST100001,55,34684.0,643.0,3.6,12827.0,1,1,8.4,Annual,Bank Transfer,38.2,No
CUST100002,49,25166.0,732.0,4.5,6452.0,3,1,5.3,Annual,Card,23.5,Yes
CUST100003,39,18000.0,714.0,2.4,13470.0,1,1,5.4,Monthly,UPI,20.3,Yes
CUST100004,38,38702.0,715.0,7.4,13413.0,0,1,7.3,Two-Year,Auto Debit,23.6,Yes
CUST100005,59,94149.0,705.0,2.3,8696.0,0,2,8.5,Two-Year,Bank Transfer,12.5,No
CUST100006,22,64022.0,693.0,9.3,3255.0,0,1,6.3,Monthly,Card,23.6,No
CUST100007,51,93392.0,728.0,3.5,16513.0,2,1,9.5,Monthly,Auto Debit,21.0,No
CUST100008,27,74042.0,741.0,4.6,9855.0,2,1,4.8,Two-Year,Auto Debit,31.8,No
CUST100009,22,82216.0,740.0,6.9,7366.0,2,0,4.5,Monthly,Auto Debit,33.6,Yes
CUST100010,43,45180.0,684.0,4.6,11846.0,2,1,4.4,Monthly,Card,15.9,Yes
CUST100011,64,76527.0,766.0,3.5,10958.0,1,1,,Two-Year,UPI,48.5,No
CUST100012,53,81032.0,703.0,4.4,13088.0,2,0,7.6,Annual,Card,29.6,Yes
CUST100013,54,52314.0,725.0,7.4,6182.0,2,1,5.3,Two-Year,Card,54.5,No
CUST100014,52,77310.0,706.0,2.4,9615.0,1,1,4.6,Two-Year,UPI,35.6,Yes
CUST100015,55,77456.0,704.0,4.1,4349.0,2,0,7.6,Monthly,Bank Transfer,33.0,Yes
CUST100016,42,52910.0,650.0,4.5,10832.0,2,0,8.4,Annual,Card,24.6,No
CUST100017,24,40299.0,729.0,7.3,8420.0,1,0,8.8,Two-Year,Auto Debit,41.2,No
CUST100018,58,38949.0,846.0,4.2,9484.0,2,1,8.5,Monthly,UPI,32.5,No
